Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-08-04 17:27:19,false,"Sydney Running","5.01","313","00:23:31","150","169","158","226","4:42","4:08","16","43","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.82","6","0.0","00:23:26","00:26:50","-10","31"
Running,2021-08-02 17:46:04,false,"Sydney Running","4.26","267","00:21:21","144","162","156","169","5:00","4:23","20","35","1.28","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:33.06","5","0.0","00:21:17","00:23:50","42","73"
Running,2021-07-31 06:45:31,false,"Sydney Running","10.85","761","00:54:22","161","183","160","176","5:01","3:29","85","110","1.25","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:58.66","11","0.0","00:54:16","01:02:02","65","104"
Running,2021-07-29 06:37:30,false,"Sydney Running","5.82","377","00:26:38","160","179","160","173","4:34","4:00","42","85","1.37","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:32.46","6","0.0","00:26:34","00:27:09","69","117"
Running,2021-07-27 17:06:57,false,"Sydney Running","5.01","257","00:20:56","143","181","161","173","4:11","3:28","23","45","1.49","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:02.47","6","0.0","00:20:51","00:23:33","124","152"
Running,2021-07-24 07:09:09,false,"Sydney Running","11.40","696","00:52:49","154","184","160","177","4:38","4:05","59","83","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:48.32","12","0.0","00:52:20","00:57:52","214","272"
Running,2021-07-22 16:55:21,false,"Sydney Running","5.01","301","00:21:58","156","178","160","175","4:23","3:49","21","42","1.43","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:01.93","6","0.0","00:21:55","00:23:34","250","283"
Running,2021-07-21 17:19:52,false,"Sydney Running","3.51","213","00:16:38","148","175","155","171","4:45","4:02","18","32","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:25.86","4","0.0","00:16:32","00:19:51","260","302"
Running,2021-07-17 06:59:54,false,"Sydney Running","10.70","733","00:49:16","168","188","160","173","4:36","3:49","69","81","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:06.63","11","0.0","00:49:04","00:57:24","279","338"
Running,2021-07-15 06:40:46,false,"Sydney Running","5.22","314","00:24:12","149","174","160","173","4:38","3:45","19","45","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:59.95","6","0.0","00:24:08","00:25:52","-85","-54"
Running,2021-07-13 06:58:35,false,"Sydney Running","5.03","310","00:23:47","150","165","160","174","4:44","4:00","21","48","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:08.40","6","0.0","00:23:35","00:25:42","-73","-37"
Running,2021-07-11 08:35:29,false,"Sydney Running","5.39","343","00:24:58","156","181","160","172","4:38","4:04","33","61","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:41.52","6","0.0","00:24:56","00:26:08","-23","28"
Running,2021-07-08 16:49:47,false,"Sydney Running","5.14","325","00:23:37","158","179","161","174","4:35","4:00","37","65","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:46.69","6","0.0","00:23:33","00:25:12","-21","24"
Running,2021-07-06 17:09:13,false,"Sydney Running","5.11","307","00:23:09","152","175","159","182","4:32","3:52","27","69","1.39","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:37.06","6","0.0","00:23:02","00:26:50","-36","18"
Running,2021-07-03 07:09:25,false,"Sydney Running","10.55","657","00:48:00","158","187","160","182","4:33","3:16","56","78","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:40.63","11","0.0","00:47:50","00:56:39","76","116"
Running,2021-06-30 17:26:34,false,"Sydney Running","5.06","274","00:23:37","138","182","157","171","4:40","4:07","22","43","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:19.47","6","0.0","00:23:30","00:25:01","-366","-335"
Running,2021-06-27 07:31:44,false,"Sydney Running","2.97","179","00:14:24","143","160","156","171","4:51","4:18","21","40","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","04:20.96","3","0.0","00:14:23","00:15:11","-269","-225"
Running,2021-06-25 06:47:37,false,"Sydney Running","5.36","332","00:25:21","151","178","159","171","4:44","4:12","35","65","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:45.11","6","0.0","00:25:17","00:26:02","-162","-108"
Running,2021-06-19 08:10:19,false,"Sydney Running","9.28","639","00:43:31","166","192","159","176","4:41","4:12","208","236","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:23.67","10","0.0","00:43:22","00:48:42","-6","56"
Running,2021-06-12 07:44:05,false,"Sydney Running","10.62","727","00:50:53","162","182","160","173","4:48","4:06","48","86","1.31","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:41.99","11","0.0","00:50:29","01:00:08","19","95"
Pool Swimming,2021-06-11 15:33:51,false,"Pool Swimming","1,000","200","00:23:33","--","--","--","--","1:56","1:28","--","--","0.00","0.0","0.0","0.0","0.0","0.0","467","41","24","0:00","0.0","0:00","No","00:18.87","6","0.0","00:19:16","00:23:41","--","--"
Running,2021-06-06 08:22:35,false,"Sydney Running","5.12","370","00:28:24","151","181","158","171","5:33","4:29","27","70","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:33.24","6","0.0","00:28:20","00:31:07","124","172"
Running,2021-06-03 12:47:11,false,"Sydney Running","5.05","343","00:24:27","158","180","156","171","4:51","4:18","50","88","1.31","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:15.22","6","0.0","00:24:20","00:25:18","-289","-233"
Running,2021-05-27 07:00:49,false,"Sydney Running","6.01","414","00:28:22","162","183","158","173","4:43","4:12","25","66","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:04.73","7","0.0","00:28:18","00:31:17","-178","-132"
Running,2021-05-25 17:02:39,false,"Sydney Running","5.36","341","00:24:31","155","171","158","168","4:35","3:52","21","37","1.39","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:42.79","6","0.0","00:24:27","00:25:21","-102","-67"
Running,2021-05-22 08:08:15,false,"Sydney Running","9.24","607","00:44:15","155","176","158","233","4:47","4:09","55","95","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:09.26","10","0.0","00:44:03","00:49:34","-133","-84"
Running,2021-05-18 16:52:26,false,"Sydney Running","6.16","410","00:28:54","157","182","157","169","4:42","4:10","32","73","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:39.77","7","0.0","00:28:47","00:31:43","-40","16"
